1,Программируем коллективный разум (файл PDF),"Хотите знать, как реализуются ранжирование результатов поиска, рекомендование товаров, социальные закладки и онлайновый подбор пар? В этой захватывающей книге рассказывается, как построить приложение Web 2.0, которое будет извлекать полезную информацию из гигантского массива данных, создаваемых партнерскими интернет-приложениями. Пользуясь описанными здесь изощренными алгоритмами, вы сможете писать...",290    ,/static/images/stars/stars5.gif
2,"Мифический человеко-месяц, или Как создаются программные системы (файл PDF)","Эта книга - юбилейное (дополненное и исправленное) издание своего рода библии для разработчиков программного обеспечения во всем мире, написанное Бруксом еще в 1975 году. Тогда же книга была издана на русском языке и давно уже стала библиографической редкостью. В США полагают, что без прочтения книги Брукса не может состояться ни один крупный руководитель программного проекта. Если вы никогда не слышали...",190    ,/static/images/stars/stars3.gif
3,Почти интеллектуальные системы. Как получить конкурентные преимущества путем автоматизации принятия скрытых решений (файл PDF),"Компьютерные системы, на которые для поддержки бизнеса опирается большинство организаций, недостаточно умны. Многие бизнес-решения, принимаемые в этих компаниях, скрыты в системах, которые принимают плохие решения или не принимают их вовсе. Кроме того, большинство систем с трудом справляется с темпом изменений. Решение данной проблемы кроется не в реализации абсолютно новых систем, а в использовании...",59    ,/static/images/stars/stars5.gif
4,Профессиональная разработка программного обеспечения (файл PDF),,190    ,/static/images/stars/stars3.gif
5,Тайм-менеджмент для системных администраторов (файл PDF),"Стив Макконнелл, автор бестселлеров по разработке ПО, приводит убедительные аргументы, доказывая, что отдельные успехи разработки ПО можно превратить в повседневную практику, если сделать совершеннее саму профессию разработчика ПО на всех уровнях, начиная с отдельного...",190    ,/static/images/stars/stars4.gif
6,Джоэл о программировании (файл PDF),"По тайм-менеджменту изданы сотни книг, но только эта написана сисадмином для сисадминов с учетом специфики их труда. Никакая другая работа не заставляет в такой степени разрываться на части. Пользователи то и дело отвлекают вас просьбами, мешая работать над долгосрочными проектами, которые вам поручил начальник, а ваши ""подопечные"" компьютеры создают проблемы в самый неподходящий момент. И даже овладев...",190    ,/static/images/stars/stars5.gif
7,IT-проекты: фронтовые очерки (файл PDF),"Полное название книги: ""Джоэл о программировании и разнообразных и иногда родственных вопросах, которые должны быть интересны разработчикам программного обеспечения, проектировщикам и менеджерам, а также тем, кому посчастливилось или не повезло в каком-то качестве работать с ними""",190    ,/static/images/stars/stars4.gif
8,"А полетит? Как узнать, есть ли у вашей бизнес-идеи крылья, прежде чем вы прыгнете (файл PDF)","Книга представляет собой подборку эссе, опубликованных автором на его сайте http://www.joelonsoftware.com. Талант и глубокое...",99    ,/static/images/stars/stars4.gif
9,"Продать как пить дать. Как создавать такие товары, которые люди захотят купить прежде, чем поймут, что они им нужны (файл PDF)","Этот сборник, написаннный живо и интересно, содержит практические рекомендации по управлению проектами, образованные в результате синтеза принципов управления и богатейшего практического опыта автора, и призван способствовать совершенствованию управления проектами в любой софтверной (и не только) компании. Затронуты разнообразные аспекты создания ПО и управления этим процессом, высказаны...",99    ,/static/images/stars/stars0.gif
10,Тотальная видимость. Как наши находки меняют нас (файл PDF),"В последние семь лет Университеты Колумбии, Джорджтауна, Мэриленда, Денвера, Северной Дакоты и Университет имени Джорджа Вашингтона время от времени вводили в свое учебное расписание курс предпринимательства, который требовал, чтобы студенты приходили в класс со своими бизнес-идеями.",190    ,/static/images/stars/stars3.gif
11,Факты и заблуждения профессионального программирования (файл PDF),", где в роли студентов выступало старшее руководство различных...",99    ,/static/images/stars/stars3.gif
12,Программируем командный дух (файл PDF),"По-настоящему замечательные продукты и по-настоящему грандиозный успех не приходят от фокус-групп! Полагаясь на метод проб и ошибок или на догадки, вы будете часто проигрывать. Теперь решение есть - RDE.",190    ,/static/images/stars/stars3.gif
13,Менеджмент. Справочник по вдохновению (файл PDF),"В данной книге раскрываются секреты метода RDE - первого систематизированного бизнес-процесса, ориентированного на решение проблем экспериментальным путем. Данный метод позволяет в максимально...",99    ,/static/images/stars/stars0.gif
14,Креативное программирование 2.0 (файл PDF),"Как ориентируются муравьи, пчелы и черепахи? Что общего между таксистом и веб-серфером? Может ли антилопа быть документом? Как мы ищем информацию? Как мы принимаем важные решения? Чье мнение мы считаем авторитетным? Мемы и ноосфера, закон Мура и закон Муэрса, Цицерон и Гибсон, ""длинный хвост"" и принцип Парето, ""умные толпы"" и социальные сети, биология эволюции и киберпространство, утконосы и семантическая...",190    ,/static/images/stars/stars3.gif
15,"Видимость в Интернете: поисковая оптимизация сайтов, 2-е издание (файл PDF)","Автор, имеющий огромный опыт работы в индустрии ПО, посвятил свой труд ее фактам, мифам и недоразумениям. Он представил 55 фактов и 10 заблуждений, относящихся к менеджменту, жизненному циклу, качеству, исследованиям и образованию в сфере разработки ПО. Некоторые из них хорошо известны, о других, наоборот, знают немногие.",99    ,/static/images/stars/stars0.gif
16,Бизнес-игры: создание революционных продуктов с помощью клиентов (файл PDF),Объективность изложения обеспечивается представлением противоположных точек...,99    ,/static/images/stars/stars0.gif
17,CRM со скоростью света. Привлечение и удержание клиентов в реальном времени через Интернет (файл PDF),Джим и Мишель Мак-Карти успешно руководили командами...,190    ,/static/images/stars/stars0.gif
18,Человеческий фактор в программировании (файл PDF),"Книга Томпсона ""Менеджмент. Справочник по вдохновению"" будет полезна всем, кто работает в сфере управления, особенно менеджерам среднего звена. В ней вы найдете множество советов и рекомендаций, которые помогут вам максимально использовать свои возможности и раскрыть еще не реализованный потенциал. Автор подробно рассказывает, как выделиться из толпы и достичь своей цели. Прочитав эту книгу, вы...",190    ,/static/images/stars/stars0.gif
